#{"t_start": 1643291651.848132, "env_id": "threecarlanechangeScenario-v0"}
r,l,t
185.266951,166,795.486289
-160.455397,162,797.36303
-848.109411,133,798.757339
-780.559767,119,800.355056
85.738105,162,802.444653
-33.780331,187,804.863835
-592.363106,41,805.387481
139.545635,150,807.317644
-242.466124,172,809.528618
203.218593,167,811.657127
-392.874094,160,813.728443
8.48595,164,815.840718
-579.540908,200,818.397162
-386.705215,135,820.147376
-76.69965,183,822.718851
92.749631,165,825.319837
-327.273717,176,827.66084
-949.387878,124,829.317547
-230.504027,158,831.360923
-643.219823,200,834.100041
278.285912,141,835.331111
-572.117272,167,836.799916
-678.503398,200,838.69768
-534.355286,11,838.811403
46.696069,171,840.539338
187.523998,153,841.882204
-374.771022,178,843.529725
101.631539,145,845.352123
-1088.561762,157,847.384963
187.763454,153,849.403902
-732.270646,94,850.619347
-500,1,850.634303
-330.571871,153,852.749458
-924.396656,136,854.603752
-640.691071,200,857.922488
174.817796,158,859.81875
157.531046,180,862.328034
-364.783451,138,864.091234
166.286955,172,866.277698
75.233741,160,868.311739
125.662541,128,869.913999
172.870395,164,871.986321
64.997705,158,873.983742
141.71,160,876.068977
-524.122126,200,878.642913
-500,1,878.653029
127.71901,186,881.113425
-904.648407,143,883.009993
-532.10113,200,885.587737
-1013.697523,200,888.549172
274.473101,135,890.277862
-615.969674,200,892.872938
187.182085,159,894.936393
257.039698,155,896.906719
-569.797563,200,899.459534
91.904823,187,901.84897
207.90896,175,904.068794
-284.834429,200,906.697363
-285.874764,156,908.69732
-577.873466,200,911.201419
162.795658,155,913.375
-660.949819,200,917.060378
114.780539,163,919.327054
175.807013,155,921.714177
-515.082079,200,924.674045
-448.652846,200,927.168295
-868.92529,158,929.163873
39.474068,181,931.480826
-632.359796,200,934.050614
-514.972713,200,936.597766
161.779058,161,938.61233
110.368447,152,940.595532
181.752381,161,942.573488
219.586138,158,944.580718
-600.11234,200,947.032784
184.898385,139,948.958143
-507.788257,200,952.155628
-717.464601,69,953.082555
