#{"t_start": 1642770742.7957847, "env_id": "twocarlanechangeScenario-v0"}
r,l,t
198.843817,141,586.655852
120.952017,163,588.02266
172.680241,146,589.524642
196.526244,132,590.685543
281.662309,128,591.653931
-699.765358,200,593.121119
218.416751,132,594.114742
198.126157,133,595.100154
170.831188,144,596.171952
171.279962,149,597.291563
135.374944,167,598.544701
299.986756,132,599.521018
169.314382,157,600.681585
261.999602,124,601.597368
123.202862,168,602.868386
115.040709,165,604.094559
273.91906,122,605.005448
219.428736,140,606.067292
203.509134,145,607.187903
277.692022,136,608.292342
211.563917,148,609.392161
-326.385485,89,610.060094
186.347341,159,611.235409
-523.229616,200,612.721423
110.573192,157,613.88858
209.455186,148,615.00432
221.732198,153,616.146942
272.68594,141,617.191525
254.022298,130,618.141719
-324.76779,95,618.847241
-402.65216,107,619.637363
-372.640635,111,620.46454
232.932159,149,621.570349
225.185112,145,622.649813
313.274543,131,623.623379
104.334271,167,624.858767
-273.431206,76,625.421483
198.429442,135,626.415039
144.497064,165,627.641727
224.519907,140,628.696409
261.701077,136,629.703515
245.374687,133,630.68769
115.683551,174,631.972731
220.876017,143,633.034525
-366.420635,95,633.733318
147.476724,155,634.884433
104.972321,168,636.144477
101.373851,157,637.320075
171.555725,172,638.592518
154.02942,153,639.728437
-355.492594,101,640.483728
164.51867,158,641.657044
287.899063,141,642.704627
-336.07862,94,643.401664
-396.505552,114,644.244999
224.963221,147,645.339078
160.857649,148,646.435475
264.249409,137,647.594837
213.696615,133,648.813577
98.857712,162,650.426264
-216.770076,33,650.666328
220.372617,130,651.627577
185.273493,153,652.757788
-413.798878,112,653.583353
119.235264,165,654.837652
174.472463,157,656.170466
253.483106,128,657.209087
264.495237,137,658.557482
265.83645,127,659.703598
209.286925,136,660.698373
252.843393,139,661.742815
220.160823,149,662.851342
-473.174109,118,663.721501
246.673867,131,664.692944
257.218955,130,665.678467
-328.273784,83,666.301152
226.111265,144,667.372145
189.702679,157,668.541382
144.367774,151,669.676647
200.864899,140,670.717945
104.902378,166,671.945813
234.200473,132,672.925232
217.245376,130,673.898573
287.421051,133,674.881901
166.44802,154,676.029991
261.070959,133,677.012291
200.215994,139,678.040446
201.310911,135,679.045799
229.594478,142,680.094048
251.324521,131,681.070918
180.434098,148,682.172489
97.569606,169,683.42953
178.817244,152,684.555429
165.951968,148,685.652417
144.520209,154,686.806745
-433.951695,112,687.637394
75.699078,176,688.942951
218.296104,130,689.909836
167.654346,149,691.028456
228.670746,133,692.013785
147.748922,164,693.266753
174.353191,154,694.409855
-283.263552,77,694.994505
246.979342,134,695.99249
-303.47294,64,696.482282
251.63453,142,697.598107
162.893008,150,698.717602
186.49241,152,699.846132
112.290561,160,701.035946
240.283782,136,702.055806
227.756301,127,702.985207
86.064912,171,704.261139
-408.949265,113,705.09773
264.953074,139,706.123049
130.867304,155,707.278692
150.637896,160,708.780641
242.632498,130,709.96248
30.254623,170,711.499738
48.523002,176,712.834967
137.612547,155,714.095128
202.232153,141,715.301745
247.944762,126,716.230524
224.474884,135,717.285122
126.398601,164,718.518884
304.574939,133,719.521636
204.956099,149,720.63079
275.443592,134,721.622922
168.304543,149,722.739768
175.600032,140,723.770874
153.638451,151,724.908746
266.09619,133,725.894847
203.70549,144,726.981108
275.938059,128,727.937865
216.08513,148,729.036819
260.781654,138,730.068503
299.281509,131,731.036727
189.956469,141,732.121989
265.825767,135,733.133844
132.963729,158,734.314946
241.072829,132,735.302704
72.382259,172,736.59058
111.128022,170,737.849616
117.453856,154,738.996204
137.901789,161,740.189608
169.386688,149,741.298542
233.793112,142,742.35832
278.960828,132,743.413904
218.524145,148,744.52193
169.445432,154,745.658935
196.640125,141,746.703848
140.053036,153,747.830922
175.42519,151,748.957443
215.283356,146,750.044929
190.649435,152,751.152996
269.706369,141,752.204804
211.102964,139,753.233443
96.911242,172,754.508834
257.169944,138,755.538027
149.254345,167,756.778286
249.334147,129,757.747764
203.622594,156,758.901307
191.22199,142,759.953175
123.138258,157,761.13207
300.490681,136,762.128656
296.605984,136,763.131184
243.813507,146,764.216984
160.214548,153,765.645371
213.054687,148,766.765225
97.923534,162,768.280716
180.566599,158,769.699922
229.167635,147,770.968281
156.99573,152,772.180091
192.714483,146,773.27103
230.691717,131,774.248478
233.464968,147,775.376117
250.78002,135,776.378593
285.883408,139,777.412925
265.032931,125,778.345039
234.588783,123,779.260914
196.424296,161,780.466558
205.578527,148,781.575544
188.913243,139,782.618367
210.52761,150,783.735627
78.572259,169,784.997625
242.861662,137,786.040817
199.595938,154,787.1788
275.344075,139,788.240562
234.978103,142,789.29266
293.023931,145,790.385265
303.511491,126,791.321506
152.212921,170,792.585439
277.511829,141,793.630617
240.702264,132,794.605847
83.979446,168,795.852928
227.497767,153,797.002114
276.807235,127,797.950404
146.093487,164,799.165377
184.087997,159,800.343842
297.62392,131,801.321854
313.908313,135,802.311765
262.709488,131,803.291195
309.373238,134,804.290188
236.941421,139,805.329953
282.884461,143,806.391752
301.36192,139,807.646903
187.275959,159,808.829582
276.238342,147,809.916309
155.191087,159,811.134418
276.744792,141,812.182648
152.472866,156,813.356644
335.741302,131,814.319732
146.482807,159,815.505167
333.260449,133,816.482805
81.252986,178,817.817306
244.008859,158,818.994524
254.628779,143,820.059015
164.905016,161,821.276479
131.754199,169,822.537794
249.951234,137,823.55883
293.059229,145,824.646038
274.501048,132,825.63797
204.722007,141,826.693107
274.068958,129,827.764343
226.469107,140,829.061873
285.157608,135,830.299562
185.011378,141,831.528589
260.95083,153,832.662529
182.836837,153,833.797504
165.876075,148,834.88837
215.564838,141,835.927135
235.663026,133,836.914288
195.434756,146,838.003546
167.435558,165,839.232822
246.577739,152,840.363849
175.30883,164,841.591465
131.822686,159,842.756759
181.037413,162,843.970156
263.713674,142,845.023753
313.157147,136,846.067406
274.711028,153,847.203047
90.302749,165,848.428931
160.159223,163,849.645192
342.982013,130,850.625008
280.801302,161,851.840199
166.139675,156,853.004153
327.79084,135,854.011429
300.234915,131,855.007763
144.565854,155,856.173599
281.884912,140,857.207176
134.900126,160,858.404387
237.630248,133,859.389031
257.656221,155,860.529037
267.679788,144,861.599202
186.57871,145,862.677562
156.276021,158,863.864592
294.419175,143,864.927423
226.5004,134,865.926557
211.482122,142,867.105116
192.656361,154,868.26024
-967.408912,200,869.751135
218.708314,155,870.900007
192.91755,150,872.011541
331.102226,129,872.982367
162.825816,152,874.115976
234.270392,150,875.238198
223.994191,148,876.334467
180.089943,154,877.488475
154.582781,158,878.664451
248.270175,142,879.724704
219.49417,154,880.869626
118.218944,158,882.043952
233.606589,141,883.090132
96.11211,173,884.383782
319.233319,127,885.326568
257.233774,136,886.343141
207.99216,144,887.555069
242.416776,126,888.751869
159.04789,162,890.193013
259.475961,133,891.19423
261.211928,142,892.395481
232.873212,146,893.48038
232.816033,142,894.55395
247.380176,141,895.638653
265.043394,136,896.646775
151.810082,159,897.836739
208.871263,148,898.933464
189.539448,153,900.081815
206.249192,146,901.445473
181.857068,155,903.009663
228.492016,134,904.013195
218.730677,146,905.115597
239.510555,133,906.120667
115.812669,163,907.317595
209.639785,141,908.366709
326.258616,132,909.371713
121.00612,160,910.573221
274.808716,138,911.605558
321.552224,129,912.573207
281.984081,134,913.565183
300.839699,132,914.540113
244.074869,145,915.620929
174.015574,162,916.829335
227.706833,145,917.911361
169.532639,164,919.132752
189.374453,153,920.266128
169.678853,153,921.400211
236.647729,144,922.46785
295.433525,143,923.524914
182.172001,158,924.708955
137.424377,159,925.888556
124.13829,157,927.064933
319.514332,135,928.075471
316.712149,132,929.076763
117.570525,163,930.290111
287.50275,138,931.318077
200.716211,148,932.42282
152.892336,154,933.562658
180.010999,157,934.741503
340.19685,133,935.761312
279.842909,143,936.81281
236.866112,146,937.908824
201.567551,156,939.074303
272.11803,138,940.108051
149.267877,160,941.314911
173.903938,158,942.506231
287.288066,146,943.595663
119.853688,162,944.802918
273.257374,148,945.900833
167.09929,157,947.074285
269.369668,146,948.445228
319.283849,142,949.765697
288.920732,133,950.919776
269.815163,136,951.939806
355.055795,137,953.058769
292.490832,138,954.120058
220.460498,159,955.29819
266.841158,151,956.418276
337.797574,134,957.417007
280.232097,136,958.618052
217.729623,153,959.755599
200.176107,157,960.933908
274.796789,142,961.98515
195.563904,157,963.147511
249.442291,152,964.279241
300.669279,141,965.322562
339.500595,139,966.395274
304.283322,135,967.409687
279.495109,146,968.497541
212.766317,154,969.656718
145.722991,161,970.855054
243.911736,162,972.21202
193.052007,160,973.397333
242.509818,142,974.445349
332.592756,135,975.630562
359.16053,133,976.852777
230.757137,152,978.009494
228.129984,147,979.258075
248.312615,151,980.425113
342.841015,136,981.471245
266.934489,150,982.720302
316.643693,139,983.773586
199.391877,159,985.102962
282.344362,144,986.195084
231.387343,150,987.340636
288.874477,151,988.580622
313.302412,139,989.624125
294.54358,141,990.682778
154.471145,169,992.050538
301.730939,140,993.093426
156.087091,167,994.449338
325.00271,138,995.487919
206.878394,150,996.611434
355.355743,133,997.725486
255.813609,145,998.818089
324.508315,132,999.804308
270.752546,143,1000.993878
259.376551,143,1002.069231
354.462884,133,1003.156467
273.907701,154,1004.326508
321.488843,145,1005.4252
